bri,mired,watt
206,443,6.03
206,453,6.05
206,463,6.01
206,473,5.89
206,483,6.03
206,493,5.99
206,500,6.03
211,153,6.09
211,163,6.07
211,173,6.04
211,183,6.14
211,193,6.06
211,203,6.11
211,213,6.01
211,223,5.93
211,233,5.89
211,243,5.79
211,253,5.85
211,263,5.75
211,273,5.76
211,283,5.76
211,293,5.6
211,303,5.52
211,313,5.56
211,323,5.48
211,333,5.48
211,343,5.45
211,353,5.44
211,363,5.5
211,373,5.5
211,383,5.61
211,393,5.69
211,403,5.57
211,413,5.76
211,423,5.81
211,433,5.82
211,443,5.86
211,453,5.92
211,463,5.95
211,473,6.0
211,483,6.1
211,493,6.11
211,500,6.14
216,153,6.2
216,163,6.14
216,173,6.15
216,183,6.15
216,193,6.22
216,203,6.13
216,213,6.14
216,223,6.13
216,233,6.22
216,243,6.2
216,253,6.13
216,263,6.09
216,273,6.1
216,283,6.01
216,293,5.96
216,303,5.96
216,313,5.9
216,323,5.9
216,333,5.85
216,343,5.81
216,353,5.75
216,363,5.61
216,373,5.7
216,383,5.7
216,393,5.78
216,403,5.86
216,413,5.8
216,423,5.86
216,433,5.87
216,443,6.0
216,453,6.08
216,463,6.15
216,473,6.14
216,483,6.21
216,493,6.27
216,500,6.39
221,153,6.25
221,163,6.25
221,173,6.33
221,183,6.33
221,193,6.3
221,203,6.37
221,213,6.25
221,223,6.23
221,233,6.17
221,243,6.16
221,253,6.09
221,263,6.12
221,273,6.0
221,283,6.0
221,293,5.96
221,303,5.85
221,313,5.89
221,323,5.78
221,333,5.76
221,343,5.72
221,353,5.79
221,363,5.79
221,373,5.79
221,383,5.79
221,393,5.85
221,403,5.9
221,413,5.9
221,423,5.98
221,433,6.03
221,443,6.15
221,453,6.28
221,463,6.23
221,473,6.23
221,483,6.33
221,493,6.44
221,500,6.39
226,153,6.43
226,163,6.46
226,173,6.35
226,183,6.26
226,193,6.27
226,203,6.13
226,213,6.28
226,223,6.38
226,233,6.4
226,243,6.51
226,253,6.45
226,263,6.45
226,273,6.49
226,283,6.45
226,293,6.41
226,303,6.4
226,313,6.33
226,323,6.3
226,333,6.22
226,343,6.13
226,353,6.09
226,363,6.15
226,373,6.03
226,383,6.04
226,393,6.05
226,403,5.99
226,413,6.02
226,423,6.17
226,433,6.2
226,443,6.25
226,453,6.27
226,463,6.32
226,473,6.41
226,483,6.43
226,493,6.49
226,500,6.57
231,153,6.6
231,163,6.46
231,173,6.49
231,183,6.41
231,193,6.34
231,203,6.25
231,213,6.25
231,223,6.26
231,233,6.14
231,243,6.1
231,253,6.09
231,263,5.99
231,273,6.04
231,283,5.93
231,293,5.84
231,303,5.89
231,313,5.78
231,323,5.67
231,333,5.64
231,343,5.75
231,353,5.89
231,363,5.98
231,373,5.97
231,383,6.05
231,393,6.0
231,403,6.1
231,413,6.12
231,423,6.29
231,433,6.32
231,443,6.39
231,453,6.46
231,463,6.46
231,473,6.55
231,483,6.6
231,493,6.7
231,500,6.62
236,153,6.55
236,163,6.6
236,173,6.56
236,183,6.58
236,193,6.48
236,203,6.42
236,213,6.37
236,223,6.44
236,233,6.47
236,243,6.52
236,253,6.57
236,263,6.58
236,273,6.67
236,283,6.75
236,293,6.66
236,303,6.67
236,313,6.72
236,323,6.62
236,333,6.54
236,343,6.47
236,353,6.55
236,363,6.39
236,373,6.33
236,383,6.31
236,393,6.2
236,403,6.22
236,413,6.28
236,423,6.37
236,433,6.39
236,443,6.45
236,453,6.52
236,463,6.62
236,473,6.64
236,483,6.67
236,493,6.75
236,500,6.76
241,153,6.79
241,163,6.81
241,173,6.72
241,183,6.67
241,193,6.65
241,203,6.47
241,213,6.46
241,223,6.45
241,233,6.46
241,243,6.31
241,253,6.34
241,263,6.23
241,273,6.24
241,283,6.1
241,293,6.04
